iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -9.210779e-15 2.363233e-14
1 2 Ex 0.25 -8.769319e-15 2.647837e-14
1 3 Ex 0.25 -8.099585e-15 2.960987e-14
1 4 Ex 0.25 -7.013539e-15 3.326195e-14
1 5 Ex 0.25 -5.927493e-15 3.691403e-14
1 6 Ex 0.25 -4.159879e-15 4.123322e-14
1 7 Ex 0.25 -2.145802e-15 4.579365e-14
1 8 Ex 0.25 1.784744e-16 5.059639e-14
1 9 Ex 0.25 3.465114e-15 5.615089e-14
1 10 Ex 0.25 6.751754e-15 6.170539e-14
1 11 Ex 0.25 1.151219e-14 6.818516e-14
1 12 Ex 0.25 1.648166e-14 7.479617e-14
1 13 Ex 0.25 2.280783e-14 8.208598e-14
1 14 Ex 0.25 2.994987e-14 8.978402e-14
1 15 Ex 0.25 3.841353e-14 9.800721e-14
1 16 Ex 0.25 4.828589e-14 1.067902e-13
1 17 Ex 0.25 5.967156e-14 1.160413e-13
1 18 Ex 0.25 7.291372e-14 1.258669e-13
1 19 Ex 0.25 8.825890e-14 1.361858e-13
1 20 Ex 0.25 1.055897e-13 1.469704e-13
1 21 Ex 0.25 1.262314e-13 1.583203e-13
1 22 Ex 0.25 1.484677e-13 1.699423e-13
1 23 Ex 0.25 1.760749e-13 1.822000e-13
1 24 Ex 0.25 2.058976e-13 1.946455e-13
1 25 Ex 0.25 2.407159e-13 2.074746e-13
1 26 Ex 0.25 2.808935e-13 2.205561e-13
1 27 Ex 0.25 3.251774e-13 2.338061e-13
1 28 Ex 0.25 3.768302e-13 2.472895e-13
1 29 Ex 0.25 4.361172e-13 2.610453e-13
1 30 Ex 0.25 5.023949e-13 2.751934e-13
1 31 Ex 0.25 5.768394e-13 2.899888e-13
1 32 Ex 0.25 6.625477e-13 3.063839e-13
1 33 Ex 0.25 7.601780e-13 3.261366e-13
1 34 Ex 0.25 8.699798e-13 3.518016e-13
1 35 Ex 0.25 9.937299e-13 3.883051e-13
1 36 Ex 0.25 1.133750e-12 4.444763e-13
1 37 Ex 0.25 1.293711e-12 5.359562e-13
1 38 Ex 0.25 1.480627e-12 6.899725e-13
1 39 Ex 0.25 1.709110e-12 9.528294e-13
1 40 Ex 0.25 2.010170e-12 1.401400e-12
1 41 Ex 0.25 2.495117e-12 2.249411e-12
1 42 Ex 0.25 3.332602e-12 3.712747e-12
1 43 Ex 0.25 4.987061e-12 6.291059e-12
1 44 Ex 0.25 8.652850e-12 1.097282e-11
1 45 Ex 0.25 1.735579e-11 1.949516e-11
1 46 Ex 0.25 3.892977e-11 3.504626e-11
1 47 Ex 0.25 9.772949e-11 6.441979e-11
1 48 Ex 0.25 2.776296e-10 1.221906e-10
1 49 Ex 0.25 1.069351e-09 2.547997e-10
1 50 Ex 0.25 6.981416e-09 6.291648e-10
1 51 Ex 0.25 -6.160325e-08 1.243361e-09
1 52 Ex 0.25 7.127338e-09 6.333558e-10
1 53 Ex 0.25 1.060310e-09 2.513995e-10
1 54 Ex 0.25 2.735639e-10 1.192426e-10
1 55 Ex 0.25 9.669433e-11 6.250873e-11
1 56 Ex 0.25 3.904907e-11 3.396569e-11
1 57 Ex 0.25 1.779258e-11 1.897290e-11
1 58 Ex 0.25 9.086390e-12 1.078981e-11
1 59 Ex 0.25 5.314196e-12 6.290300e-12
1 60 Ex 0.25 3.544712e-12 3.794128e-12
1 61 Ex 0.25 2.612786e-12 2.357880e-12
1 62 Ex 0.25 2.059088e-12 1.508752e-12
1 63 Ex 0.25 1.715640e-12 1.045113e-12
1 64 Ex 0.25 1.461506e-12 7.643882e-13
1 65 Ex 0.25 1.260615e-12 5.935468e-13
1 66 Ex 0.25 1.094211e-12 4.878832e-13
1 67 Ex 0.25 9.522642e-13 4.204837e-13
1 68 Ex 0.25 8.290751e-13 3.753830e-13
1 69 Ex 0.25 7.210902e-13 3.432304e-13
1 70 Ex 0.25 6.258243e-13 3.185887e-13
1 71 Ex 0.25 5.426408e-13 2.985856e-13
1 72 Ex 0.25 4.706341e-13 2.810996e-13
1 73 Ex 0.25 4.066630e-13 2.647855e-13
1 74 Ex 0.25 3.495504e-13 2.492537e-13
1 75 Ex 0.25 2.999095e-13 2.343479e-13
1 76 Ex 0.25 2.574788e-13 2.199514e-13
1 77 Ex 0.25 2.190662e-13 2.058651e-13
1 78 Ex 0.25 1.858976e-13 1.922060e-13
1 79 Ex 0.25 1.576155e-13 1.790843e-13
1 80 Ex 0.25 1.314996e-13 1.662187e-13
1 81 Ex 0.25 1.106270e-13 1.541544e-13
1 82 Ex 0.25 9.130521e-14 1.424137e-13
1 83 Ex 0.25 7.520373e-14 1.313448e-13
1 84 Ex 0.25 6.102171e-14 1.208062e-13
1 85 Ex 0.25 4.887264e-14 1.108292e-13
1 86 Ex 0.25 3.850497e-14 1.014887e-13
1 87 Ex 0.25 2.958942e-14 9.266709e-14
1 88 Ex 0.25 2.201288e-14 8.445144e-14
1 89 Ex 0.25 1.569258e-14 7.680431e-14
