iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -8.794095e-15 2.336085e-14
1 2 Ex 0.25 -8.236141e-15 2.632050e-14
1 3 Ex 0.25 -7.451898e-15 2.954083e-14
1 4 Ex 0.25 -6.390576e-15 3.306965e-14
1 5 Ex 0.25 -4.998464e-15 3.694922e-14
1 6 Ex 0.25 -3.228805e-15 4.118009e-14
1 7 Ex 0.25 -1.026235e-15 4.577336e-14
1 8 Ex 0.25 1.681961e-15 5.075206e-14
1 9 Ex 0.25 4.974577e-15 5.613805e-14
1 10 Ex 0.25 8.933074e-15 6.194364e-14
1 11 Ex 0.25 1.364263e-14 6.818047e-14
1 12 Ex 0.25 1.923055e-14 7.486840e-14
1 13 Ex 0.25 2.583333e-14 8.202376e-14
1 14 Ex 0.25 3.358032e-14 8.965082e-14
1 15 Ex 0.25 4.262179e-14 9.775315e-14
1 16 Ex 0.25 5.314189e-14 1.063285e-13
1 17 Ex 0.25 6.534450e-14 1.153708e-13
1 18 Ex 0.25 7.944805e-14 1.248682e-13
1 19 Ex 0.25 9.569216e-14 1.348121e-13
1 20 Ex 0.25 1.143874e-13 1.451537e-13
1 21 Ex 0.25 1.358782e-13 1.558383e-13
1 22 Ex 0.25 1.605202e-13 1.668263e-13
1 23 Ex 0.25 1.887275e-13 1.780619e-13
1 24 Ex 0.25 2.209756e-13 1.894672e-13
1 25 Ex 0.25 2.578055e-13 2.009584e-13
1 26 Ex 0.25 2.998286e-13 2.124570e-13
1 27 Ex 0.25 3.477460e-13 2.238966e-13
1 28 Ex 0.25 4.023413e-13 2.352119e-13
1 29 Ex 0.25 4.645098e-13 2.464030e-13
1 30 Ex 0.25 5.352806e-13 2.576099e-13
1 31 Ex 0.25 6.158326e-13 2.691934e-13
1 32 Ex 0.25 7.075132e-13 2.819039e-13
1 33 Ex 0.25 8.119151e-13 2.971958e-13
1 34 Ex 0.25 9.309925e-13 3.177544e-13
1 35 Ex 0.25 1.067298e-12 3.483913e-13
1 36 Ex 0.25 1.224386e-12 3.975889e-13
1 37 Ex 0.25 1.407953e-12 4.802939e-13
1 38 Ex 0.25 1.628259e-12 6.228511e-13
1 39 Ex 0.25 1.905401e-12 8.717710e-13
1 40 Ex 0.25 2.281453e-12 1.309562e-12
1 41 Ex 0.25 2.848442e-12 2.083377e-12
1 42 Ex 0.25 3.813963e-12 3.457197e-12
1 43 Ex 0.25 5.659642e-12 5.907886e-12
1 44 Ex 0.25 9.541769e-12 1.030567e-11
1 45 Ex 0.25 1.837761e-11 1.826666e-11
1 46 Ex 0.25 4.011215e-11 3.289050e-11
1 47 Ex 0.25 9.911785e-11 6.048158e-11
1 48 Ex 0.25 2.847423e-10 1.151707e-10
1 49 Ex 0.25 9.977650e-10 2.322906e-10
1 50 Ex 0.25 2.999702e-09 4.739931e-10
1 51 Ex 0.25 -1.020444e-08 5.854723e-10
1 52 Ex 0.25 2.999702e-09 4.739931e-10
1 53 Ex 0.25 9.977650e-10 2.322906e-10
1 54 Ex 0.25 2.847424e-10 1.151707e-10
1 55 Ex 0.25 9.911789e-11 6.048158e-11
1 56 Ex 0.25 4.011220e-11 3.289050e-11
1 57 Ex 0.25 1.837767e-11 1.826666e-11
1 58 Ex 0.25 9.541842e-12 1.030568e-11
1 59 Ex 0.25 5.659719e-12 5.907897e-12
1 60 Ex 0.25 3.814046e-12 3.457213e-12
1 61 Ex 0.25 2.848528e-12 2.083400e-12
1 62 Ex 0.25 2.281541e-12 1.309592e-12
1 63 Ex 0.25 1.905487e-12 8.718072e-13
1 64 Ex 0.25 1.628342e-12 6.228947e-13
1 65 Ex 0.25 1.408031e-12 4.803456e-13
1 66 Ex 0.25 1.224458e-12 3.976474e-13
1 67 Ex 0.25 1.067361e-12 3.484494e-13
1 68 Ex 0.25 9.310497e-13 3.178142e-13
1 69 Ex 0.25 8.119597e-13 2.972607e-13
1 70 Ex 0.25 7.075437e-13 2.819741e-13
1 71 Ex 0.25 6.158480e-13 2.692661e-13
1 72 Ex 0.25 5.352810e-13 2.576853e-13
1 73 Ex 0.25 4.644930e-13 2.464796e-13
1 74 Ex 0.25 4.023083e-13 2.352883e-13
1 75 Ex 0.25 3.477006e-13 2.239687e-13
1 76 Ex 0.25 2.997715e-13 2.125256e-13
1 77 Ex 0.25 2.577335e-13 2.010215e-13
1 78 Ex 0.25 2.208892e-13 1.895233e-13
1 79 Ex 0.25 1.886300e-13 1.781093e-13
1 80 Ex 0.25 1.604126e-13 1.668646e-13
1 81 Ex 0.25 1.357622e-13 1.558655e-13
1 82 Ex 0.25 1.142660e-13 1.451703e-13
1 83 Ex 0.25 9.557561e-14 1.348209e-13
1 84 Ex 0.25 7.933483e-14 1.248702e-13
1 85 Ex 0.25 6.523243e-14 1.153607e-13
1 86 Ex 0.25 5.303124e-14 1.063057e-13
1 87 Ex 0.25 4.251537e-14 9.771886e-14
1 88 Ex 0.25 3.347817e-14 8.960512e-14
1 89 Ex 0.25 2.573770e-14 8.196673e-14
1 90 Ex 0.25 1.914216e-14 7.480134e-14
1 91 Ex 0.25 1.356314e-14 6.810785e-14
1 92 Ex 0.25 8.861282e-15 6.186472e-14
1 93 Ex 0.25 4.913951e-15 5.605212e-14
1 94 Ex 0.25 1.633379e-15 5.065983e-14
1 95 Ex 0.25 -1.062334e-15 4.567788e-14
1 96 Ex 0.25 -3.252610e-15 4.108124e-14
1 97 Ex 0.25 -5.008594e-15 3.684872e-14
1 98 Ex 0.25 -6.388519e-15 3.296876e-14
1 99 Ex 0.25 -7.443072e-15 2.944525e-14
1 100 Ex 0.25 -8.220649e-15 2.622752e-14
1 101 Ex 0.25 -8.767026e-15 2.327266e-14
1 1 Ey 0.25 -1.071058e-16 1.789996e-16
1 2 Ey 0.25 -1.079488e-16 2.066473e-16
1 3 Ey 0.25 -1.072588e-16 2.379825e-16
1 4 Ey 0.25 -1.045825e-16 2.734332e-16
1 5 Ey 0.25 -9.948055e-17 3.134959e-16
1 6 Ey 0.25 -9.139681e-17 3.587086e-16
1 7 Ey 0.25 -7.966565e-17 4.096707e-16
1 8 Ey 0.25 -6.348092e-17 4.670370e-16
1 9 Ey 0.25 -4.190804e-17 5.315585e-16
1 10 Ey 0.25 -1.383934e-17 6.040711e-16
1 11 Ey 0.25 2.203049e-17 6.855232e-16
1 12 Ey 0.25 6.726231e-17 7.769621e-16
1 13 Ey 0.25 1.236733e-16 8.796411e-16
1 14 Ey 0.25 1.934206e-16 9.949822e-16
1 15 Ey 0.25 2.790630e-16 1.124637e-15
1 16 Ey 0.25 3.836490e-16 1.270515e-15
1 17 Ey 0.25 5.107959e-16 1.434890e-15
1 18 Ey 0.25 6.648118e-16 1.620461e-15
1 19 Ey 0.25 8.508291e-16 1.830480e-15
1 20 Ey 0.25 1.074956e-15 2.068871e-15
1 21 Ey 0.25 1.344485e-15 2.340639e-15
1 22 Ey 0.25 1.668057e-15 2.652083e-15
1 23 Ey 0.25 2.055908e-15 3.011390e-15
1 24 Ey 0.25 2.520126e-15 3.429492e-15
1 25 Ey 0.25 3.075019e-15 3.921491e-15
1 26 Ey 0.25 3.737589e-15 4.508839e-15
1 27 Ey 0.25 4.528344e-15 5.222880e-15
1 28 Ey 0.25 5.472719e-15 6.110478e-15
1 29 Ey 0.25 6.603972e-15 7.242970e-15
1 30 Ey 0.25 7.968476e-15 8.730265e-15
1 31 Ey 0.25 9.636109e-15 1.074292e-14
1 32 Ey 0.25 1.171991e-14 1.354651e-14
1 33 Ey 0.25 1.441298e-14 1.755454e-14
1 34 Ey 0.25 1.805664e-14 2.340983e-14
1 35 Ey 0.25 2.326540e-14 3.210877e-14
1 36 Ey 0.25 3.115559e-14 4.519126e-14
1 37 Ey 0.25 4.376459e-14 6.503188e-14
1 38 Ey 0.25 6.482696e-14 9.529210e-14
1 39 Ey 0.25 1.012409e-13 1.416361e-13
1 40 Ey 0.25 1.659250e-13 2.129009e-13
1 41 Ey 0.25 2.836309e-13 3.230954e-13
1 42 Ey 0.25 5.034845e-13 4.950163e-13
1 43 Ey 0.25 9.281663e-13 7.672482e-13
1 44 Ey 0.25 1.788595e-12 1.208831e-12
1 45 Ey 0.25 3.659489e-12 1.952997e-12
1 46 Ey 0.25 8.185254e-12 3.284313e-12
1 47 Ey 0.25 2.107643e-11 5.900222e-12
1 48 Ey 0.25 6.838900e-11 1.186352e-11
1 49 Ey 0.25 3.218462e-10 2.884559e-11
1 50 Ey 0.25 2.325048e-09 8.571866e-11
1 51 Ey 0.25 2.945845e-18 -9.027851e-19
1 52 Ey 0.25 -2.325048e-09 -8.571866e-11
1 53 Ey 0.25 -3.218462e-10 -2.884559e-11
1 54 Ey 0.25 -6.838900e-11 -1.186352e-11
1 55 Ey 0.25 -2.107642e-11 -5.900223e-12
1 56 Ey 0.25 -8.185248e-12 -3.284314e-12
1 57 Ey 0.25 -3.659484e-12 -1.952998e-12
1 58 Ey 0.25 -1.788590e-12 -1.208831e-12
1 59 Ey 0.25 -9.281618e-13 -7.672481e-13
1 60 Ey 0.25 -5.034805e-13 -4.950158e-13
1 61 Ey 0.25 -2.836273e-13 -3.230944e-13
1 62 Ey 0.25 -1.659219e-13 -2.128995e-13
1 63 Ey 0.25 -1.012383e-13 -1.416344e-13
1 64 Ey 0.25 -6.482486e-14 -9.528993e-14
1 65 Ey 0.25 -4.376303e-14 -6.502935e-14
1 66 Ey 0.25 -3.115457e-14 -4.518842e-14
1 67 Ey 0.25 -2.326495e-14 -3.210566e-14
1 68 Ey 0.25 -1.805674e-14 -2.340649e-14
1 69 Ey 0.25 -1.441363e-14 -1.755102e-14
1 70 Ey 0.25 -1.172109e-14 -1.354288e-14
1 71 Ey 0.25 -9.637821e-15 -1.073925e-14
1 72 Ey 0.25 -7.970699e-15 -8.726609e-15
1 73 Ey 0.25 -6.606676e-15 -7.239399e-15
1 74 Ey 0.25 -5.475874e-15 -6.107058e-15
1 75 Ey 0.25 -4.531927e-15 -5.219672e-15
1 76 Ey 0.25 -3.741569e-15 -4.505883e-15
1 77 Ey 0.25 -3.079348e-15 -3.918835e-15
1 78 Ey 0.25 -2.524760e-15 -3.427183e-15
1 79 Ey 0.25 -2.060804e-15 -3.009471e-15
1 80 Ey 0.25 -1.673169e-15 -2.650585e-15
1 81 Ey 0.25 -1.349763e-15 -2.339585e-15
1 82 Ey 0.25 -1.080350e-15 -2.068281e-15
1 83 Ey 0.25 -8.562909e-16 -1.830369e-15
1 84 Ey 0.25 -6.703199e-16 -1.620816e-15
1 85 Ey 0.25 -5.163124e-16 -1.435701e-15
1 86 Ey 0.25 -3.891286e-16 -1.271778e-15
1 87 Ey 0.25 -2.844547e-16 -1.126353e-15
1 88 Ey 0.25 -1.986812e-16 -9.971365e-16
1 89 Ey 0.25 -1.287613e-16 -8.822112e-16
1 90 Ey 0.25 -7.213509e-17 -7.799264e-16
1 91 Ey 0.25 -2.664323e-17 -6.888610e-16
1 92 Ey 0.25 9.510050e-18 -6.077513e-16
1 93 Ey 0.25 3.788448e-17 -5.355411e-16
1 94 Ey 0.25 5.979043e-17 -4.712848e-16
1 95 Ey 0.25 7.633925e-17 -4.141445e-16
1 96 Ey 0.25 8.845145e-17 -3.633674e-16
1 97 Ey 0.25 9.692836e-17 -3.182923e-16
1 98 Ey 0.25 1.024343e-16 -2.783183e-16
1 99 Ey 0.25 1.055267e-16 -2.429062e-16
1 100 Ey 0.25 1.066206e-16 -2.115874e-16
1 101 Ey 0.25 1.061715e-16 -1.839239e-16
1 1 Hx 0.25 -7.664715e-14 5.766765e-14
1 2 Hx 0.25 -8.485265e-14 6.847038e-14
1 3 Hx 0.25 -9.378330e-14 8.118047e-14
1 4 Hx 0.25 -1.034701e-13 9.611339e-14
1 5 Hx 0.25 -1.139239e-13 1.136257e-13
1 6 Hx 0.25 -1.251669e-13 1.341361e-13
1 7 Hx 0.25 -1.372129e-13 1.581302e-13
1 8 Hx 0.25 -1.500595e-13 1.861641e-13
1 9 Hx 0.25 -1.636754e-13 2.188777e-13
1 10 Hx 0.25 -1.780099e-13 2.570257e-13
1 11 Hx 0.25 -1.929816e-13 3.014907e-13
1 12 Hx 0.25 -2.084863e-13 3.532910e-13
1 13 Hx 0.25 -2.243824e-13 4.136379e-13
1 14 Hx 0.25 -2.404940e-13 4.839704e-13
1 15 Hx 0.25 -2.566034e-13 5.659907e-13
1 16 Hx 0.25 -2.724536e-13 6.617222e-13
1 17 Hx 0.25 -2.877474e-13 7.735746e-13
1 18 Hx 0.25 -3.021468e-13 9.044768e-13
1 19 Hx 0.25 -3.152829e-13 1.058006e-12
1 20 Hx 0.25 -3.267840e-13 1.238594e-12
1 21 Hx 0.25 -3.363144e-13 1.451771e-12
1 22 Hx 0.25 -3.436055e-13 1.704562e-12
1 23 Hx 0.25 -3.485405e-13 2.005978e-12
1 24 Hx 0.25 -3.512548e-13 2.367774e-12
1 25 Hx 0.25 -3.522550e-13 2.805542e-12
1 26 Hx 0.25 -3.525105e-13 3.340333e-12
1 27 Hx 0.25 -3.535072e-13 4.001051e-12
1 28 Hx 0.25 -3.571153e-13 4.828027e-12
1 29 Hx 0.25 -3.650499e-13 5.878294e-12
1 30 Hx 0.25 -3.774282e-13 7.233460e-12
1 31 Hx 0.25 -3.896748e-13 9.011420e-12
1 32 Hx 0.25 -3.862414e-13 1.138369e-11
1 33 Hx 0.25 -3.285574e-13 1.460101e-11
1 34 Hx 0.25 -1.325964e-13 1.903098e-11
1 35 Hx 0.25 3.718811e-13 2.521319e-11
1 36 Hx 0.25 1.514456e-12 3.393957e-11
1 37 Hx 0.25 3.914193e-12 4.637105e-11
1 38 Hx 0.25 8.711269e-12 6.420618e-11
1 39 Hx 0.25 1.798167e-11 8.992479e-11
1 40 Hx 0.25 3.549062e-11 1.271400e-10
1 41 Hx 0.25 6.809563e-11 1.811105e-10
1 42 Hx 0.25 1.284596e-10 2.594981e-10
1 43 Hx 0.25 2.405869e-10 3.735250e-10
1 44 Hx 0.25 4.519840e-10 5.398406e-10
1 45 Hx 0.25 8.630757e-10 7.837946e-10
1 46 Hx 0.25 1.707699e-09 1.145830e-09
1 47 Hx 0.25 3.610120e-09 1.695469e-09
1 48 Hx 0.25 8.574557e-09 2.563985e-09
1 49 Hx 0.25 2.452622e-08 3.998184e-09
1 50 Hx 0.25 8.107974e-08 5.887467e-09
1 51 Hx 0.25 2.826097e-15 1.036715e-15
1 52 Hx 0.25 -8.107973e-08 -5.887465e-09
1 53 Hx 0.25 -2.452622e-08 -3.998182e-09
1 54 Hx 0.25 -8.574552e-09 -2.563982e-09
1 55 Hx 0.25 -3.610115e-09 -1.695467e-09
1 56 Hx 0.25 -1.707694e-09 -1.145827e-09
1 57 Hx 0.25 -8.630714e-10 -7.837922e-10
1 58 Hx 0.25 -4.519803e-10 -5.398381e-10
1 59 Hx 0.25 -2.405838e-10 -3.735224e-10
1 60 Hx 0.25 -1.284570e-10 -2.594954e-10
1 61 Hx 0.25 -6.809375e-11 -1.811078e-10
1 62 Hx 0.25 -3.548943e-11 -1.271373e-10
1 63 Hx 0.25 -1.798119e-11 -8.992204e-11
1 64 Hx 0.25 -8.711511e-12 -6.420346e-11
1 65 Hx 0.25 -3.915151e-12 -4.636842e-11
1 66 Hx 0.25 -1.516109e-12 -3.393706e-11
1 67 Hx 0.25 -3.741926e-13 -2.521082e-11
1 68 Hx 0.25 1.296762e-13 -1.902880e-11
1 69 Hx 0.25 3.250843e-13 -1.459908e-11
1 70 Hx 0.25 3.822772e-13 -1.138205e-11
1 71 Hx 0.25 3.852813e-13 -9.010111e-12
1 72 Hx 0.25 3.726732e-13 -7.232520e-12
1 73 Hx 0.25 3.600110e-13 -5.877762e-12
1 74 Hx 0.25 3.518688e-13 -4.827934e-12
1 75 Hx 0.25 3.481236e-13 -4.001412e-12
