iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -1.231965e-14 1.766142e-14
1 2 Ex 0.25 -1.245094e-14 2.020845e-14
1 3 Ex 0.25 -1.240878e-14 2.306005e-14
1 4 Ex 0.25 -1.205028e-14 2.646708e-14
1 5 Ex 0.25 -1.169178e-14 2.987411e-14
1 6 Ex 0.25 -1.077097e-14 3.401090e-14
1 7 Ex 0.25 -9.646819e-15 3.841157e-14
1 8 Ex 0.25 -8.252912e-15 4.308551e-14
1 9 Ex 0.25 -6.022101e-15 4.860728e-14
1 10 Ex 0.25 -3.791289e-15 5.412904e-14
1 11 Ex 0.25 -2.292523e-16 6.072735e-14
1 12 Ex 0.25 3.521594e-15 6.747834e-14
1 13 Ex 0.25 8.544935e-15 7.504309e-14
1 14 Ex 0.25 1.433351e-14 8.309719e-14
1 15 Ex 0.25 2.139279e-14 9.180422e-14
1 16 Ex 0.25 2.980650e-14 1.012072e-13
1 17 Ex 0.25 3.970821e-14 1.112154e-13
1 18 Ex 0.25 5.143535e-14 1.219661e-13
1 19 Ex 0.25 6.526529e-14 1.333841e-13
1 20 Ex 0.25 8.108066e-14 1.454322e-13
1 21 Ex 0.25 1.002714e-13 1.582836e-13
1 22 Ex 0.25 1.210879e-13 1.715219e-13
1 23 Ex 0.25 1.474478e-13 1.857381e-13
1 24 Ex 0.25 1.761167e-13 2.002674e-13
1 25 Ex 0.25 2.100040e-13 2.154543e-13
1 26 Ex 0.25 2.495511e-13 2.311477e-13
1 27 Ex 0.25 2.934546e-13 2.471913e-13
1 28 Ex 0.25 3.452289e-13 2.637577e-13
1 29 Ex 0.25 4.052586e-13 2.808461e-13
1 30 Ex 0.25 4.729245e-13 2.985301e-13
1 31 Ex 0.25 5.495908e-13 3.170723e-13
1 32 Ex 0.25 6.388842e-13 3.374370e-13
1 33 Ex 0.25 7.419212e-13 3.612866e-13
1 34 Ex 0.25 8.594225e-13 3.910192e-13
1 35 Ex 0.25 9.940633e-13 4.312718e-13
1 36 Ex 0.25 1.149463e-12 4.902968e-13
1 37 Ex 0.25 1.331083e-12 5.826212e-13
1 38 Ex 0.25 1.548228e-12 7.334073e-13
1 39 Ex 0.25 1.818214e-12 9.854182e-13
1 40 Ex 0.25 2.174701e-12 1.409772e-12
1 41 Ex 0.25 2.733328e-12 2.205386e-12
1 42 Ex 0.25 3.657506e-12 3.575313e-12
1 43 Ex 0.25 5.399493e-12 5.993234e-12
1 44 Ex 0.25 9.115913e-12 1.040529e-11
1 45 Ex 0.25 1.773647e-11 1.849673e-11
1 46 Ex 0.25 3.889638e-11 3.339134e-11
1 47 Ex 0.25 9.655728e-11 6.180085e-11
