==========================================================
l-BFGS memory length: 5
Maximum number of iterations: 30
Convergence tolerance: 1.00e-06
maximum number of line search: 5
initial step length: alpha=1
==========================================================
iter    fk       fk/f0      ||gk||    alpha     nls   ngrad
  0   1.25e+03  1.00e+00   5.37e+00  1.00e+00    0     0
  1   1.08e+03  8.66e-01   4.75e+00  4.00e+00    2     3
  2   8.06e+02  6.43e-01   9.84e+00  2.50e-01    2     6
  3   5.78e+02  4.62e-01   4.45e+00  1.00e+00    0     7
  4   4.52e+02  3.61e-01   4.73e+00  1.00e+00    0     8
  5   4.36e+02  3.48e-01   1.43e+01  1.00e+00    0     9
  6   3.05e+02  2.43e-01   4.09e+00  1.00e+00    0    10
  7   2.16e+02  1.72e-01   2.29e+00  1.00e+00    0    11
  8   1.79e+02  1.43e-01   3.61e+00  1.00e+00    0    12
  9   1.41e+02  1.12e-01   1.74e+00  1.00e+00    0    13
 10   1.25e+02  9.95e-02   1.38e+00  1.00e+00    0    14
 11   1.11e+02  8.86e-02   1.67e+00  5.00e-01    1    16
 12   9.17e+01  7.33e-02   1.44e+00  5.00e-01    1    18
 13   7.92e+01  6.33e-02   1.57e+00  1.00e+00    0    19
 14   6.71e+01  5.36e-02   9.82e-01  1.00e+00    0    20
 15   5.92e+01  4.72e-02   7.50e-01  1.00e+00    0    21
 16   5.17e+01  4.13e-02   6.57e-01  1.00e+00    0    22
 17   5.09e+01  4.07e-02   1.87e+00  1.00e+00    0    23
 18   4.17e+01  3.33e-02   4.49e-01  1.00e+00    0    24
 19   3.90e+01  3.12e-02   3.21e-01  1.00e+00    0    25
 20   3.56e+01  2.85e-02   3.87e-01  1.00e+00    0    26
 21   3.38e+01  2.70e-02   8.12e-01  5.00e-01    1    28
 22   3.08e+01  2.46e-02   3.52e-01  1.00e+00    0    29
 23   2.92e+01  2.34e-02   2.75e-01  1.00e+00    0    30
 24   2.79e+01  2.23e-02   2.67e-01  1.00e+00    0    31
 25   2.71e+01  2.17e-02   4.78e-01  1.00e+00    0    32
 26   2.57e+01  2.05e-02   3.08e-01  1.00e+00    0    33
 27   2.48e+01  1.98e-02   2.79e-01  1.00e+00    0    34
 28   2.42e+01  1.93e-02   4.52e-01  1.00e+00    0    35
 29   2.34e+01  1.87e-02   1.86e-01  1.00e+00    0    36
==>Maximum iteration number reached!
