             x                y                z         azimuth        dip        iRx
  -3928.20312      -9196.15234       790.000000       30.0000000               0           1
  -3754.99805      -9096.15234       790.000000       30.0000000               0           2
  -3581.79297      -8996.15234       790.000000       30.0000000               0           3
  -3408.58789      -8896.15234       790.000000       30.0000000               0           4
  -3235.38281      -8796.15234       790.000000       30.0000000               0           5
  -3062.17773      -8696.15234       790.000000       30.0000000               0           6
  -2888.97266      -8596.15234       790.000000       30.0000000               0           7
  -2715.76758      -8496.15234       790.000000       30.0000000               0           8
  -2542.56250      -8396.15234       790.000000       30.0000000               0           9
  -2369.35742      -8296.15234       790.000000       30.0000000               0          10
  -2196.15234      -8196.15234       790.000000       30.0000000               0          11
  -2022.94727      -8096.15234       790.000000       30.0000000               0          12
  -1849.74219      -7996.15234       790.000000       30.0000000               0          13
  -1676.53711      -7896.15234       790.000000       30.0000000               0          14
  -1503.33203      -7796.15234       790.000000       30.0000000               0          15
  -1330.12695      -7696.15234       790.000000       30.0000000               0          16
  -1156.92188      -7596.15234       790.000000       30.0000000               0          17
  -983.716797      -7496.15234       790.000000       30.0000000               0          18
  -810.511719      -7396.15234       790.000000       30.0000000               0          19
  -637.306641      -7296.15234       790.000000       30.0000000               0          20
  -464.101562      -7196.15234       790.000000       30.0000000               0          21
  -290.896484      -7096.15234       790.000000       30.0000000               0          22
  -117.691406      -6996.15234       790.000000       30.0000000               0          23
   55.5136719      -6896.15234       790.000000       30.0000000               0          24
   228.718750      -6796.15234       790.000000       30.0000000               0          25
   401.923828      -6696.15234       790.000000       30.0000000               0          26
   575.128906      -6596.15234       790.000000       30.0000000               0          27
   748.333984      -6496.15234       790.000000       30.0000000               0          28
   921.539062      -6396.15234       790.000000       30.0000000               0          29
   1094.74414      -6296.15234       790.000000       30.0000000               0          30
   1267.94922      -6196.15234       790.000000       30.0000000               0          31
   1441.15430      -6096.15234       790.000000       30.0000000               0          32
   1614.35938      -5996.15234       790.000000       30.0000000               0          33
   1787.56445      -5896.15234       790.000000       30.0000000               0          34
