             x                y                z         azimuth        dip        iTx
  -2196.15234      -8196.15234       903.652222       30.0000000               0           1
   401.923828      -6696.15234       870.258484       30.0000000               0           2
   3000.00000      -5196.15234       834.029785       30.0000000               0           3
   5598.07617      -3696.15234       810.434204       30.0000000               0           4
   8196.15234      -2196.15234       809.226013       30.0000000               0           5
  -3696.15234      -5598.07617       865.961426       30.0000000               0           6
  -1098.07617      -4098.07617       832.172302       30.0000000               0           7
   1500.00000      -2598.07617       807.180298       30.0000000               0           8
   4098.07617      -1098.07617       802.881104       30.0000000               0           9
   6696.15234       401.923828       821.753967       30.0000000               0          10
  -5196.15234      -3000.00000       858.630493       30.0000000               0          11
  -2598.07617      -1500.00000       832.790283       30.0000000               0          12
   0.00000000       0.00000000       825.000000       30.0000000               0          13
   2598.07617       1500.00000       840.608459       30.0000000               0          14
   5196.15234       3000.00000       874.202942       30.0000000               0          15
  -6696.15234      -401.923828       875.797852       30.0000000               0          16
  -4098.07617       1098.07617       862.813354       30.0000000               0          17
  -1500.00000       2598.07617       872.511414       30.0000000               0          18
   1098.07617       4098.07617       902.368835       30.0000000               0          19
   3696.15234       5598.07617       940.450073       30.0000000               0          20
  -8196.15234       2196.15234       895.751526       30.0000000               0          21
  -5598.07617       3696.15234       896.936096       30.0000000               0          22
  -3000.00000       5196.15234       919.801636       30.0000000               0          23
  -401.923828       6696.15234       954.599792       30.0000000               0          24
   2196.15234       8196.15234       985.874329       30.0000000               0          25
